boro,zip,violation_count
BROOKLYN,11226,2665
BRONX,10456,2277
BRONX,10457,2210
BRONX,10458,2181
BRONX,10467,2135
BRONX,10453,2083
BROOKLYN,11207,2035
BROOKLYN,11212,1878
BRONX,10452,1806
BROOKLYN,11208,1714
BRONX,10468,1601
BROOKLYN,11233,1556
BROOKLYN,11213,1515
BRONX,10460,1486
BRONX,10459,1469
BROOKLYN,11203,1454
MANHATTAN,10031,1232
BROOKLYN,11225,1208
BRONX,10466,1208
BRONX,10472,1180
BROOKLYN,11216,1153
BROOKLYN,11221,1113
MANHATTAN,10032,1107
MANHATTAN,10030,985
BROOKLYN,11236,872
MANHATTAN,10033,828
BRONX,10451,820
MANHATTAN,10027,816
MANHATTAN,10026,813
MANHATTAN,10029,790
BRONX,10469,770
BRONX,10462,758
BRONX,10454,752
BROOKLYN,11210,746
BRONX,10455,731
MANHATTAN,10039,725
BROOKLYN,11237,724
MANHATTAN,10035,678
MANHATTAN,10040,635
MANHATTAN,10034,619
BROOKLYN,11220,617
BROOKLYN,11238,610
BROOKLYN,11230,601
QUEENS,11691,594
BRONX,10463,553
STATEN ISLAND,10304,534
BROOKLYN,11218,509
QUEENS,11385,471
MANHATTAN,10025,439
STATEN ISLAND,10301,421
BRONX,10461,412
BRONX,10474,399
QUEENS,11368,394
QUEENS,11432,391
BROOKLYN,11206,384
QUEENS,11372,384
BRONX,10473,375
QUEENS,11373,355
BRONX,10470,343
BROOKLYN,11234,343
BROOKLYN,11215,319
QUEENS,11434,317
BROOKLYN,11224,304
BROOKLYN,11219,299
BROOKLYN,11235,296
BROOKLYN,11209,289
BROOKLYN,11214,286
MANHATTAN,10009,280
BROOKLYN,11211,274
QUEENS,11435,272
MANHATTAN,10037,271
MANHATTAN,10002,267
QUEENS,11412,250
QUEENS,11377,247
QUEENS,11433,243
QUEENS,11355,230
QUEENS,11419,230
QUEENS,11692,216
BROOKLYN,11232,212
QUEENS,11418,201
STATEN ISLAND,10303,201
BROOKLYN,11204,201
MANHATTAN,10024,200
MANHATTAN,10019,193
QUEENS,11413,184
BROOKLYN,11223,183
MANHATTAN,10003,174
BROOKLYN,11231,165
QUEENS,11367,163
BROOKLYN,11205,158
QUEENS,11104,158
STATEN ISLAND,10310,156
MANHATTAN,10011,156
QUEENS,11420,154
QUEENS,11423,151
BROOKLYN,11222,151
MANHATTAN,10128,150
BROOKLYN,11229,146
QUEENS,11369,143
BROOKLYN,11217,141
QUEENS,11416,129
QUEENS,11374,129
QUEENS,11429,124
MANHATTAN,10036,124
STATEN ISLAND,10302,115
QUEENS,11103,110
QUEENS,11375,109
QUEENS,11417,108
QUEENS,11101,103
QUEENS,11102,102
QUEENS,11422,101
BROOKLYN,11201,101
STATEN ISLAND,10314,99
BRONX,10465,98
MANHATTAN,10028,95
QUEENS,11354,95
BRONX,10475,94
MANHATTAN,10016,93
MANHATTAN,10013,93
QUEENS,11106,91
QUEENS,11421,90
STATEN ISLAND,10305,90
MANHATTAN,10014,88
QUEENS,11436,86
MANHATTAN,10012,83
QUEENS,11415,83
QUEENS,11105,76
MANHATTAN,10023,72
BROOKLYN,11228,71
MANHATTAN,10065,70
QUEENS,11427,68
QUEENS,11378,67
QUEENS,11379,66
QUEENS,11411,66
BRONX,10471,65
MANHATTAN,10463,64
QUEENS,11356,59
MANHATTAN,10021,57
MANHATTAN,10001,56
MANHATTAN,10022,56
MANHATTAN,10075,54
BROOKLYN,11249,48
MANHATTAN,10018,45
QUEENS,11358,45
QUEENS,11370,44
QUEENS,11364,44
STATEN ISLAND,10306,42
MANHATTAN,10010,40
QUEENS,11414,38
QUEENS,11428,38
QUEENS,11694,35
QUEENS,11365,35
BRONX,10464,30
BROOKLYN,11239,30
QUEENS,11693,28
QUEENS,11366,24
BRONX,UNKNOWN,23
QUEENS,11361,21
MANHATTAN,10017,19
QUEENS,11357,16
QUEENS,UNKNOWN,14
MANHATTAN,10038,9
QUEENS,11426,9
STATEN ISLAND,10308,5
STATEN ISLAND,10309,4
QUEENS,11001,4
QUEENS,11360,3
BROOKLYN,UNKNOWN,3
STATEN ISLAND,10312,2
MANHATTAN,10007,2
QUEENS,11362,1
STATEN ISLAND,10307,1
MANHATTAN,10006,1
BRONX,1901,1
QUEENS,11363,1
QUEENS,11040,1
MANHATTAN,10004,1
QUEENS,11004,1
